waterlichaam;orde;aantal_meetplaatsen;jaren
KROMMEDIJKBEEK;L1;2;2012, 2023
LA HAUTE PLANCHE;L1;1;2008, 2011
LAAKBEEK;L1;3;2009, 2012, 2017, 2020
LAAMBEEK;L1;3;2012, 2022
LAAN;VL;3;2007, 2010, 2013, 2016, 2018, 2020, 2023
LAARBEEK;L1;3;2011, 2017
LAARSE BEEK;L1;4;2009, 2012, 2015, 2018, 2021
LACHENEBEEK;L1;3;2009, 2012, 2019, 2022
LANGEGRACHT;L1;2;2010, 2018, 2021
LANGELEDE;L1;3;2008, 2014, 2020
LANGGELEED;L1;3;2010, 2015, 2022
LARUMSE LOOP;L1;2;2009, 2012, 2017, 2020, 2023
LEDE;VL;3;2009, 2013, 2015, 2018, 2021
LEEBEEK;L1;3;2013, 2018
LEIBEEK - LAAKBEEK;VL;3;2009, 2012, 2017, 2020, 2023
LEIBEEK - LIPSEBEEK L1;L1;3;2009
LEIE I;VL;3;2007, 2010
LEIE II;VL;3;2008
LEIE III;VL;3;2008
LEMINGSBEEK;L1;3;2011, 2023
LEOPOLDKANAAL I;VL;4;2007, 2008, 2010, 2013, 2016, 2019, 2023
LEOPOLDKANAAL II;VL;3;2007, 2011, 2017
LEYBEEK;L1;3;2012
LEYLOOP;L1;3;2007, 2010, 2013, 2016, 2019
LIJSTERBEEK;L1;2;2013, 2018
LISSEWEEGSEVAART;L1;1;2012, 2016
LOEIJENS NEETJE;L1;5;2008, 2011, 2014, 2017, 2020
LOKANAAL;VL;3;2008, 2011, 2019, 2022
LOSSING;VL;3;2007, 2010, 2013, 2016, 2019, 2022
LOSSING L1;L1;2;2007, 2013, 2016, 2022
LOTBEEK;L1;3;2012, 2023
LOZERBROEKBEEK;L1;3;2012
MAALBEEK (LEIEBEKKEN);L1;3;2009, 2022
MAALBEEK - AMELVONNEBEEK;L1;3;2011, 2015, 2021
MAANBEEK;L1;4;2009, 2011, 2017, 2023
MAAS I+II+III;VL;4;2007, 2008, 2010
MANDEL I;VL;3;2008, 2011, 2023
MANDEL II;VL;3;2008, 2011, 2023
MANDEL L1;L1;3;2009, 2023
MANGELBEEK;VL;4;2008, 2011, 2014, 2017, 2020, 2023
MANGELBEEK L1;L1;3;2007, 2019
MARK (Denderbekken);VL;3;2009, 2013, 2015, 2017, 2021
MARK (Maas);VL;4;2007, 2010, 2013, 2016, 2019, 2022
MARK L1;L1;3;2007, 2010, 2016, 2019, 2022
MARTJEVAART;VL;3;2008, 2011, 2019
MARTJEVAART - LEKKERBOTERBEEK;L1;3;2009
MELSENBEEK;L1;3;2013, 2019
MELSTERBEEK I+II;VL;6;2008, 2011, 2017, 2020, 2023
MELSTERBEEK L1;L1;4;2009, 2017
MENE;L1;3;2012, 2023
MEREBEEK;L1;3;2007, 2010, 2013, 2016, 2019
MEREBEEK + BORISGRACHT + LIEVE;VL;2;2007, 2010, 2013, 2016, 2019
MERKSKE;VL;4;2007, 2010, 2011, 2013, 2016, 2019, 2022
MERKSKE L1;L1;3;2007, 2009, 2012, 2016, 2019, 2022
MILLEGEMLOOP;L1;3;2010, 2014, 2021
MOERDIJKVAART;VL;3;2008, 2011, 2015, 2018, 2019, 2023
MOERDIJKVAART L1;L1;3;2013, 2019
MOERVAART;VL;3;2009, 2013, 2015, 2018, 2021
MOL NEET;VL;3;2008, 2011, 2015, 2020, 2023
MOLENBEEK (RONSE);L1;3;2009, 2021
MOLENBEEK (SINT-TRUIDEN);L1;3;2009, 2018
MOLENBEEK - BEIAARDBEEK;L1;3;2009, 2021
MOLENBEEK - BEVERBEEK;L1;3;2011, 2017, 2023
MOLENBEEK - BOLLAAK;VL;3;2007, 2010, 2013, 2017, 2020, 2023
MOLENBEEK - BOLLAAK L1;L1;3;2008, 2011, 2014, 2017, 2020, 2023
MOLENBEEK - GONDEBEEK;L1;2;2009, 2021
MOLENBEEK - GRAADBEEK;L1;3;2008, 2020
MOLENBEEK - GROTE BEEK;L1;3;2013, 2017, 2023
MOLENBEEK - GROTE BEEK;VL;3;2008, 2012, 2017, 2020, 2023
MOLENBEEK - KALSTERBEEK;L1;3;2009, 2013, 2018
MOLENBEEK - KOTTEMBEEK;VL;3;2008, 2013, 2017, 2020
MOLENBEEK - LAKEBEEK;L1;3;2009, 2012, 2015
MOLENBEEK - MAARKEBEEK;VL;3;2009, 2013, 2017, 2021
MOLENBEEK - MARKEBEEK;L1;4;2009, 2010, 2015, 2021
MOLENBEEK - NEERPEDEBEEK;L1;3;2022
MOLENBEEK - PACHTBOSBEEK;VL;3;2008, 2011, 2017, 2020, 2023
MOLENBEEK - PACHTBOSBEEK L1;L1;3;2009, 2019
MOLENBEEK - PARKBEEK;L1;3;2008, 2012, 2023
MOLENBEEK - SLAGVIJVERBEEK;L1;3;2009, 2019, 2022
MOLENBEEK - TER ERPENBEEK;VL;3;2009, 2013, 2018, 2021
MOLENBEEK - VOGELENZANGBEEK;L1;2;2010, 2016
MOLENBEEK - ZIJP;L1;3;2010, 2021
MOLSE NETE L1;L1;3;2008, 2011, 2014, 2020, 2023
MOMBEEK;VL;3;2008, 2011, 2014, 2016, 2018, 2020, 2023
MOMBEEK L1;L1;3;2009, 2014, 2015, 2017, 2020, 2023
MOUBEEK;L1;3;2009
MUNSTERBEEK;VL;3;2008, 2011, 2014, 2016, 2018, 2020, 2023
MUNSTERBEEK L1;L1;3;2008, 2009, 2014, 2016, 2018, 2021, 2023
MUNTLOOP;L1;3;2009, 2012, 2016, 2019, 2022
NEERBEEK;L1;2;2013, 2018
NEERSCHUURBEEK;L1;3;2010, 2016
NETEKANAAL;VL;3;2008
NETHEN;VL;2;2007, 2010, 2016, 2019, 2022
NIEUWE GRACHT;L1;2;2012, 2018, 2022
NIEUWE KALE;VL;3;2008, 2013, 2017, 2020
NOORD-ZUIDVERBINDING;VL;4;2008, 2011, 2015, 2018, 2021
NOORDELIJKE RINGVAART;VL;2;2009
OOSSEBEEK;L1;3;2013, 2017, 2023
OOSTENDS KREKENGEBIED;VL;3;2009, 2011, 2014, 2017, 2020, 2023
OOSTKERKEVAART;L1;3;2009, 2014
OOSTPOLDERKREEK;L1;3;2010, 2016
OPHASSELTBEEK;L1;3;2009, 2019
OUDE AVAART;L1;3;2012, 2017
OUDE DENDER;L1;3;2008, 2014, 2020
OUDE KALE;VL;5;2009, 2010, 2013, 2015, 2017, 2021
OUDE MANDEL;VL;3;2008, 2011, 2020
OUDE MANDEL L1;L1;3;2008, 2012, 2021
PALINGBEEK;L1;2;2010
PAPENMEERSBEEK;L1;3;2008, 2020
PEERDESTOKBEEK;L1;3;2020
PLAATSBEEK;L1;2;2013, 2018
PLATTE BEEK;L1;3;2009, 2012, 2017
POEKEBEEK;VL;3;2009, 2013, 2017, 2021
POEKEBEEK L1;L1;3;2009, 2021
POPERINGEVAART;VL;3;2007, 2010, 2014, 2015, 2016, 2020
POVERSBEEK;L1;2;2013, 2018
PRINSENLOOP;L1;3;2009
PROVINCIEGELEED;L1;2;2012, 2017, 2020
REEHAGENBEEK;L1;3;2009
REIGERBEEK;L1;2;2010, 2016
RIJTGRACHT;L1;3;2008, 2020
RINGBEEK;L1;2;2010
RINGSLOT;L1;3;2008, 2009, 2011, 2015
RIVIERBEEK;L1;1;2013
RIVIERBEEK + HERTSBERGEBEEK;VL;3;2008, 2011, 2016, 2020
RODE LOOP;L1;3;2007, 2008, 2009, 2010, 2013, 2017, 2020, 2023
RONE;VL;1;2009, 2013, 2018, 2021
RONSELAREBEEK;L1;1;2013, 2018, 2021
ROOBEEK;L1;3;2013, 2018, 2023
S HERTOGENDIJKSE BEEK;L1;3;2012, 2015, 2018
SCHEEBEEK;L1;3;2013, 2018
SCHEIBEEK;L1;3;2008, 2014, 2020
SCHEPPELIJKE NETE;L1;3;2009, 2011, 2017, 2023
SCHERPENBERGLOOP;L1;3;2009, 2012, 2014, 2017, 2020, 2023
SCHOON SCHIJN;L1;4;2012, 2015, 2018, 2021
SCHOORBROEKBEEK;L1;3;2007, 2016
SCHULENSMEER;VL;3;2020
SLANGBEEK;L1;9;2009, 2012, 2017, 2021, 2022
SLEIDINGSVAARDEKEN;L1;3;2009, 2015, 2021
SLIJKVAART;L1;3;2010, 2015
SLUISKENSVIJVER;L1;1;2009, 2012, 2016, 2019, 2023
SOERBEEK;L1;3;2012, 2014, 2021
SPEIBEEK;L1;3;2010, 2012, 2021
SPILLEBEEK;L1;3;2007, 2016, 2019
ST-MACHUITSBEEK;L1;2;2012, 2016, 2019
ST-ODULPHUSBEEK;L1;3;2010, 2022
ST. TRUDOLEKEN;L1;3;2009, 2014
STAMPKOTBEEK;VL;3;2009, 2013, 2018, 2021
STAMPKOTBEEK - MOLENBEEK;L1;3;2013, 2017, 2023
STAMPKOTBEEK - MUNKBOSBEEK;L1;3;2013, 2018
STAMPKOTBEEK - WALLEBEEK;L1;2;2009, 2021
STAPKENSLOOP;L1;1;2008, 2011, 2017, 2020
STEENGRACHT;L1;3;2010, 2015, 2020
STEENKENSBEEK;L1;3;2011, 2020
STEENLAAK;L1;3;2012, 2017
STEENVOORDBEEK (TERNAT);L1;3;2013, 2018
STEENVOORDEBEEK (WATOU);L1;3;2008, 2009, 2013
STEGERSZWIN;L1;3;2009, 2014
STENENSLUISVAART;L1;3;2009
STIEMER;L1;5;2007
TANGEBEEK;L1;3;2011, 2018
TAPPELBEEK;L1;5;2009, 2012, 2014, 2017, 2020, 2023
TER ERPENBEEK;L1;3;2009, 2019
TOERISTISCHE LEIE;VL;3;2008, 2011, 2019
VAARTDIJKGELEED;L1;1;2012, 2018
VARENDONKSE BEEK;L1;3;2007, 2011
VELPE;VL;4;2008, 2011, 2013, 2017, 2020, 2023
VELPE L1;L1;3;2008, 2009, 2013
VERLEGDE SCHIJN - HOOFDGRACHT;VL;2;2008, 2011, 2021
VERLEGDE SCHIJN - VOORGRACHT;VL;4;2008, 2011, 2018, 2021
VEURNE AMBACHT POLDER WATERLOPEN;VL;3;2007, 2008, 2010, 2011, 2015, 2017, 2020
VIJVERSLOOP;L1;3;2012
VISBEEK;L1;2;2011, 2020
VLADSLOVAART;VL;3;2008, 2011, 2015, 2016, 2017, 2021, 2023
VLETERBEEK;L1;2;2012, 2014, 2020
VOER (BERTEM);L1;3;2008, 2011, 2014, 2017, 2020, 2022
VOER (Leuven);VL;3;2008, 2011, 2017, 2020, 2022
VOER (VOEREN);L1;3;2008, 2013, 2022
VONDELBEEK;VL;3;2008, 2011, 2017, 2020
VONDELBEEK L1;L1;3;2009, 2021
VOORSTESLOOT;L1;1;2009, 2015, 2021
VROUWVLIET;VL;3;2008, 2011, 2018, 2020, 2023
VROUWVLIET L1;L1;3;2008, 2012
VUNT;VL;3;2008, 2011, 2014, 2017, 2021
WAMP;VL;1;2007, 2010, 2013, 2017, 2020, 2023
WAMP L1;L1;3;2008, 2011, 2013, 2017, 2020, 2023
WANTEBEEK;L1;3;2013, 2018
WARMBEEK;VL;7;2007, 2010, 2011, 2013, 2016, 2018, 2020, 2022, 2023
WARMBEEK L1;L1;3;2007, 2009, 2010, 2012, 2013, 2016, 2021, 2023
WATERGANG VAN DE MOERBEKEPOLDER;L1;3;2013, 2018
WATERLOOP VAN DE HOGE LANDEN + MELKADER;VL;4;2008, 2011, 2015, 2021
WATERLOOP VAN DE HOGE LANDEN L1;L1;3;2009, 2012, 2015, 2021
WEERIJSEBEEK;VL;3;2007, 2010, 2016, 2019, 2022
WEERIJSEBEEK L1;L1;3;2007, 2010, 2016, 2019, 2023
WEESBEEK;VL;4;2008, 2011, 2014, 2017, 2019, 2023
WEESBEEK L1;L1;7;2008, 2009, 2014
WEHAGENBEEK;L1;3;2009, 2012, 2016, 2019, 2023
WESTELIJKE RINGVAART;VL;3;2010
WEZELSE BEEK;L1;3;2009, 2012, 2015, 2018, 2021
WILDEBEEK;L1;3;2010, 2016, 2023
WILDERBEEK;L1;3;2022, 2023
WIMP;VL;3;2008, 2011, 2014, 2017, 2020, 2023
WIMP L1;L1;3;2009, 2011, 2017, 2023
WINGE;VL;3;2008, 2011, 2014, 2017, 2020
WINGE L1;L1;3;2008, 2014
WINTERBEEK (BILZEN);L1;3;2007, 2016, 2019, 2022
WINTERBEEK (KORTESSEM);L1;2;2012, 2017, 2023
WITBEEK;L1;3;2012, 2017
WOLUWE;VL;6;2007, 2009, 2010, 2013, 2017, 2020, 2023
ZANDERBEEK;L1;3;2007, 2016
ZARRENBEEK;VL;1;2007, 2010, 2022
ZARRENBEEK L1;L1;3;2012, 2022
ZEEKANAAL BRUSSEL-SCHELDE - Benedenscheldebekken;VL;1;2008
ZELEBEEK;L1;3;2009, 2019
ZENNE I;VL;4;2007, 2010, 2013, 2016, 2019, 2022
ZENNE II;VL;4;2007, 2009, 2010, 2013, 2016, 2019, 2022
ZIELBEEK - BOSBEEK;VL;3;2008, 2011, 2018, 2021
ZIELBEEK - BOSBEEK L1;L1;3;2008, 2011, 2018, 2021
ZIEPBEEK;L1;2;2009
ZIJDELINGSGELEED;L1;3;2010, 2015, 2019
ZILVERBEEK;L1;3;2010, 2018
ZONDERIKBEEK;L1;3;2008, 2009, 2018
ZOUBEEK;L1;2;2010, 2012, 2015
ZOUW;L1;3;2012
ZUID-WILLEMSVAART + KANAAL BOCHOLT-HERENTALS (deels) + KANAAL BRIEGDEN-NEERHAREN;VL;3;2007, 2010
ZUIDELIJKE WATERGANG;L1;3;2008, 2011, 2018, 2021
ZUIDERVAARTJE;VL;3;2008, 2011, 2021, 2023
ZUIDLEDE;VL;3;2008, 2013, 2015, 2017, 2020, 2023
ZUTENDAALBEEK;L1;1;2012, 2018
ZUUNBEEK;VL;3;2009, 2012, 2016, 2019, 2022
ZUUNBEEK L1;L1;3;2009, 2019, 2022
ZWALM;VL;3;2008, 2012, 2017, 2020
ZWALMBEEK;L1;3;2009, 2015, 2021
ZWARTE BEEK (WILLEBROEK);L1;3;2009, 2012, 2021
ZWARTE SPIEREBEEK;VL;3;2008, 2013, 2018, 2020
ZWARTEBEEK;VL;7;2007, 2010, 2013, 2015, 2016, 2017, 2018, 2019, 2020, 2022, 2023
ZWARTEBEEK (SCHERPENHEUVEL-ZICHEM);L1;3;2012, 2015, 2021
ZWARTEBEEK L1;L1;4;2007, 2013, 2016, 2018, 2019
ZWARTESLUISBEEK;VL;3;2008, 2012, 2014, 2017, 2020, 2023
ZWARTESLUISBEEK L1;L1;3;2010, 2016
ZWARTWATER;VL;3;2008, 2011, 2014, 2017, 2020, 2023
ZWINNEVAART;VL;3;2008, 2011, 2015, 2018, 2022
NA;L2;55;2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2021, 2022, 2023
